Keyword,Volume,Difficulty,Intent,Assigned Page URL,Page Type,Gap,Priority
ICUMSA 45 white sugar wholesale,2400,45,Commercial,https://gwincoltd.com/product/icumsa-45-white-refined-sugar/,Product,N,High
Thai jasmine rice exporter,1900,38,Commercial,https://gwincoltd.com/our-products/rice/,Category,N,High
NPK fertilizer wholesale,1600,42,Commercial,https://gwincoltd.com/our-products/fertilizer/,Category,N,High
refined soybean oil bulk,880,35,Commercial,https://gwincoltd.com/product/refined-soybean-oil/,Product,N,High
copper cathode supplier,720,50,Commercial,https://gwincoltd.com/product/copper-cathode/,Product,N,Medium
sugar fertilizer best prices,590,30,Commercial,https://gwincoltd.com/,Homepage,N,High
1121 sella basmati rice export,480,33,Commercial,https://gwincoltd.com/product/1121-sella-basmati-rice/,Product,N,Medium
urea fertilizer 46% nitrogen,1200,40,Commercial,https://gwincoltd.com/product/urea/,Product,N,High
how to import rice from Thailand,320,25,Informational,https://gwincoltd.com/faq/,FAQ,Y,High
what is ICUMSA 45 sugar,890,20,Informational,https://gwincoltd.com/glossary/,Glossary,Y,High
ICUMSA 45 vs ICUMSA 150,410,22,Informational,https://gwincoltd.com/faq/,FAQ,N,Medium
Thai rice varieties explained,260,18,Informational,https://gwincoltd.com/glossary/,Glossary,N,Medium
commodity trading Thailand,340,35,Commercial,https://gwincoltd.com/about-us/,About,N,Medium
wholesale rice sugar fertilizer,210,28,Commercial,https://gwincoltd.com/our-products/,Catalog,N,High
Global Win Co Ltd,90,10,Navigational,https://gwincoltd.com/,Homepage,N,High
FOB rice export Thailand,180,30,Commercial,https://gwincoltd.com/faq/,FAQ,N,Medium
parboiled rice wholesale,390,32,Commercial,https://gwincoltd.com/product/thai-parboiled-rice/,Product,N,Medium
brown cane sugar ICUMSA 600,280,28,Commercial,https://gwincoltd.com/product/icumsa-600-1200-brown-sugar-2/,Product,N,Medium
DAP fertilizer export,450,38,Commercial,https://gwincoltd.com/product/dap-diammonium-phosphate/,Product,N,Medium
aluminum ingot A7 supplier,310,45,Commercial,https://gwincoltd.com/product/aluminum-ingot-a7/,Product,N,Low
