Publish Date,Content Title,Content Type,Primary Keyword,Intent,Word Count Target,Status
2026-08-18,Export FAQ Hub,FAQ Page,how to import rice from Thailand,Informational,1500,Published
2026-08-18,Commodity Glossary,Glossary Page,what is ICUMSA 45,Informational,1200,Published
2026-08-25,ICUMSA 45 vs ICUMSA 150: Complete Comparison,Comparison,ICUMSA 45 vs ICUMSA 150,Informational,2000,Planned
2026-09-01,How to Import Thai Rice: A Buyer's Guide,Pillar Guide,import rice from Thailand,Informational,3000,Planned
2026-09-08,NPK Fertilizer Grades Explained for Importers,Guide,NPK fertilizer grades,Informational,1800,Planned
2026-09-15,Thai Rice Varieties: Jasmine vs Basmati vs Parboiled,Guide,Thai rice varieties,Informational,2200,Planned
2026-09-22,Understanding FOB and CIF for Commodity Export,Guide,FOB CIF commodity export,Informational,1500,Planned
2026-09-29,Wholesale Sugar Export from Thailand: Buyer's Checklist,Commercial,sugar wholesale Thailand,Commercial,1800,Planned
2026-10-06,Urea Fertilizer: Agricultural vs Automotive Grade,Guide,urea fertilizer grades,Informational,1600,Planned
2026-10-13,Global Win vs Traditional Commodity Brokers,Comparison,commodity trading Thailand,Commercial,1500,Planned
2026-10-20,Certificate of Analysis (COA) for Export Commodities,Guide,COA export commodities,Informational,1200,Planned
2026-10-27,Minimum Order Quantities for Bulk Commodity Export,Guide,MOQ commodity export,Informational,1200,Planned
2026-11-03,Thai Parboiled Rice: Processing and Export Specs,Product Guide,parboiled rice wholesale,Commercial,1800,Planned
